#freq, s11_mag, s21_mag, s11_mp_mag, s21_mp_mag
31751503.006, -0.19421637286, -24.89521179, -16.9082559619, -3.61589213668
31949899.7996, -0.19612736637, -24.9803864919, -13.4750733565, -3.73800783466
32148296.5932, -0.200098212321, -25.098973493, -10.7496601565, -3.93138580746
32346693.3868, -0.205085180528, -25.2253984463, -8.95492941322, -4.14947650206
32545090.1804, -0.209986145514, -25.3345025442, -7.82829269419, -4.34646352351
32743486.9739, -0.213892394954, -25.4063978877, -7.18441494074, -4.48685386198
32941883.7675, -0.216190148824, -25.4291264959, -6.91947253317, -4.5490718236
33140280.5611, -0.216575150831, -25.3996807214, -6.9883439513, -4.52574370671
33338677.3547, -0.215049433296, -25.3240536718, -7.3910982393, -4.42310996949
33537074.1483, -0.211931185502, -25.2165500074, -8.16550013558, -4.26048793759
33735470.9419, -0.207860740791, -25.0980574569, -9.3745882242, -4.06918230351
33933867.7355, -0.203745435909, -24.9927304437, -11.0513283251, -3.88906830786
34132264.5291, -0.200582147222, -24.9229351176, -12.9599939569, -3.76097572293
34330661.3226, -0.199165006152, -24.903462408, -14.0420047436, -3.71525844652
34529058.1162, -0.199804705369, -24.9372408289, -13.19851296, -3.76120593848
34727454.9098, -0.202232999502, -25.014717664, -11.3935054046, -3.88393348163
34925851.7034, -0.205751288678, -25.1172411701, -9.75285895739, -4.05101468584
35124248.497, -0.209510051418, -25.2226299289, -8.55298130196, -4.2242022741
35322645.2906, -0.212754627679, -25.3104959293, -7.76790040694, -4.36965562434
35521042.0842, -0.214955997154, -25.3658696233, -7.33019470376, -4.46359248175
35719438.8778, -0.215842501613, -25.3809647275, -7.18878946612, -4.49403289422
35917835.6713, -0.215384416742, -25.3555737218, -7.3154229408, -4.46051208839
36116232.4649, -0.213768973085, -25.2965683845, -7.69855232813, -4.37305140697
36314629.2585, -0.211373805868, -25.216669053, -8.3293627495, -4.25065474556
36513026.0521, -0.208722922688, -25.1323856648, -9.17253835577, -4.11882281637
36711422.8457, -0.206402068256, -25.0610477526, -10.1097161197, -4.00537349809
36909819.6393, -0.204928410884, -25.0172203955, -10.8737323624, -3.93453081728
37108216.4329, -0.204609126439, -25.0093842901, -11.1149835956, -3.92073074088
37306613.2265, -0.205454452717, -25.0380672719, -10.7187548838, -3.96480476158
37505010.02, -0.207194604805, -25.0962052005, -9.94125015455, -4.05458547607
37703406.8136, -0.20938972373, -25.1715197281, -9.10868654391, -4.16954395689
37901803.6072, -0.21157119812, -25.24985404, -8.40536992465, -4.2869623485
38100200.4008, -0.213352863859, -25.3182786647, -7.89418320637, -4.38709664086
38298597.1944, -0.21448733983, -25.3672559217, -7.58156319075, -4.45620755465
38496993.988, -0.214876559959, -25.3917271042, -7.45478957025, -4.48765588486
38695390.7816, -0.214557020022, -25.3913126702, -7.49594477836, -4.48174088044
38893787.5752, -0.213674827963, -25.3698672679, -7.68359346768, -4.44481978076
39092184.3687, -0.212455579086, -25.334549037, -7.98788166009, -4.38792416297
39290581.1623, -0.211167369188, -25.2944879941, -8.36223082412, -4.32486967283
39488977.9559, -0.210075008924, -25.2591515492, -8.73672535024, -4.2698629295
39687374.7495, -0.209389396754, -25.2366134394, -9.02354412704, -4.23484804421
39885771.5431, -0.209224126781, -25.2320670391, -9.14454728248, -4.22716647597
40084168.3367, -0.209574875291, -25.2469670277, -9.07072403142, -4.24825458364
40282565.1303, -0.210330812752, -25.2790480385, -8.83773726886, -4.29384930879
40480961.9238, -0.211313739401, -25.323189436, -8.52015532028, -4.35559418814
40679358.7174, -0.212329143143, -25.3728209837, -8.19216490117, -4.42340975544
40877755.511, -0.2132114217, -25.4214404565, -7.9054731717, -4.48783892013
41076152.3046, -0.213852233835, -25.4638698884, -7.68675177925, -4.54179317087
41274549.0982, -0.214209782844, -25.4970307999, -7.5434467299, -4.5814653224
