4090n 0.0
4110n 0.0
4130n 1.0
4150n 1.0
4170n 0.0
4190n 0.0
4210n 1.0
4230n 1.0
4250n 1.0
4270n 1.0
4290n 0.0
4310n 0.0
4330n 0.0
4350n 0.0
4370n 1.0
4390n 1.0
4410n 0.0
4430n 0.0
4450n 1.0
4470n 1.0
4490n 0.0
4510n 0.0
4530n 1.0
4550n 1.0
4570n 1.0
4590n 1.0
4610n 0.0
4630n 0.0
4650n 0.0
4670n 0.0
4690n 1.0
4710n 1.0
4730n 0.0
4750n 0.0
4770n 1.0
4790n 1.0
4810n 1.0
4830n 1.0
4850n 0.0
4870n 0.0
4890n 1.0
4910n 1.0
4930n 0.0
4950n 0.0
4970n 0.0
4990n 0.0
5010n 1.0
5030n 1.0
5050n 0.0
5070n 0.0
5090n 1.0
5110n 1.0
5130n 1.0
5150n 1.0
5170n 0.0
5190n 0.0
5210n 1.0
5230n 1.0
5250n 0.0
5270n 0.0
5290n 1.0
5310n 1.0
5330n 0.0
5350n 0.0
5370n 1.0
5390n 1.0
5410n 0.0
5430n 0.0
5450n 1.0
5470n 1.0
5490n 0.0
5510n 0.0
5530n 1.0
5550n 1.0
5570n 0.0
5590n 0.0
5610n 1.0
5630n 1.0
5650n 0.0
5670n 0.0
5690n 1.0
5710n 1.0
5730n 0.0
5750n 0.0
5770n 0.0
5790n 0.0
5810n 1.0
5830n 1.0
5850n 1.0
5870n 1.0
5890n 0.0
5910n 0.0
5930n 0.0
5950n 0.0
5970n 1.0
5990n 1.0
6010n 1.0
6030n 1.0
6050n 0.0
6070n 0.0
6090n 0.0
6110n 0.0
6130n 1.0
6150n 1.0
6170n 1.0
6190n 1.0
6210n 0.0
6230n 0.0
6250n 1.0
6270n 1.0
6290n 0.0
6310n 0.0
6330n 0.0
6350n 0.0
6370n 1.0
6390n 1.0
6410n 1.0
6430n 1.0
6450n 0.0
6470n 0.0
6490n 0.0
6510n 0.0
6530n 1.0
6550n 1.0
6570n 1.0
6590n 1.0
6610n 0.0
6630n 0.0
6650n 0.0
6670n 0.0
6690n 1.0
6710n 1.0
6730n 0.0
6750n 0.0
6770n 1.0
6790n 1.0
6810n 0.0
6830n 0.0
6850n 1.0
6870n 1.0
6890n 1.0
6910n 1.0
6930n 0.0
6950n 0.0
6970n 0.0
6990n 0.0
7010n 1.0
7030n 1.0
7050n 1.0
7070n 1.0
7090n 0.0
7110n 0.0
7130n 0.0
7150n 0.0
7170n 1.0
7190n 1.0
7210n 0.0
7230n 0.0
7250n 1.0
7270n 1.0
7290n 1.0
7310n 1.0
7330n 0.0
7350n 0.0
7370n 1.0
7390n 1.0
7410n 0.0
7430n 0.0
7450n 0.0
7470n 0.0
7490n 1.0
7510n 1.0
7530n 1.0
7550n 1.0
7570n 0.0
7590n 0.0
7610n 0.0
7630n 0.0
7650n 1.0
7670n 1.0
7690n 0.0
7710n 0.0
7730n 1.0
7750n 1.0
7770n 0.0
7790n 0.0
7810n 1.0
7830n 1.0
7850n 0.0
7870n 0.0
7890n 1.0
7910n 1.0
7930n 0.0
7950n 0.0
7970n 1.0
7990n 1.0
8010n 1.0
8030n 1.0
8050n 0.0
8070n 0.0
8090n 0.0
8110n 0.0
8130n 1.0
8150n 1.0
8170n 0.0
8190n 0.0
8210n 1.0
8230n 1.0
8250n 1.0
8270n 1.0
8290n 0.0
8310n 0.0
8330n 0.0
8350n 0.0
8370n 1.0
8390n 1.0
8410n 1.0
8430n 1.0
8450n 0.0
8470n 0.0
8490n 1.0
8510n 1.0
8530n 0.0
8550n 0.0
8570n 0.0
8590n 0.0
8610n 1.0
8630n 1.0
8650n 0.0
8670n 0.0
8690n 1.0
8710n 1.0
8730n 0.0
8750n 0.0
8770n 1.0
8790n 1.0
8810n 1.0
8830n 1.0
8850n 0.0
8870n 0.0
8890n 0.0
8910n 0.0
8930n 1.0
8950n 1.0
8970n 0.0
8990n 0.0
9010n 1.0
9030n 1.0
9050n 0.0
9070n 0.0
9090n 1.0
9110n 1.0
9130n 0.0
9150n 0.0
9170n 1.0
9190n 1.0
9210n 1.0
9230n 1.0
9250n 0.0
9270n 0.0
9290n 1.0
9310n 1.0
9330n 0.0
9350n 0.0
9370n 0.0
9390n 0.0
9410n 1.0
9430n 1.0
9450n 0.0
9470n 0.0
9490n 1.0
9510n 1.0
9530n 1.0
9550n 1.0
9570n 0.0
9590n 0.0
9610n 0.0
9630n 0.0
9650n 1.0
9670n 1.0
9690n 0.0
9710n 0.0
9730n 1.0
9750n 1.0
9770n 0.0
9790n 0.0
9810n 1.0
9830n 1.0
9850n 0.0
9870n 0.0
9890n 1.0
9910n 1.0
9930n 0.0
9950n 0.0
9970n 1.0
9990n 1.0
10010n 0.0
10030n 0.0
10050n 1.0
10070n 1.0
10090n 1.0
10110n 1.0
10130n 0.0
10150n 0.0
10170n 1.0
10190n 1.0
10200n 0.0
10240n 0.0
